annotation_id,annotator,created_at,id,image,lead_time,updated_at,image_path,zone_label_path,spot_label_path,seg_exists,augmentation
4,1,2025-03-05T11:07:52.910376Z,6,/data/upload/2/552d11bb-09470488-74c0-48ad-813a-f0de97299f6a.webp,813.579,2025-03-05T13:17:32.847130Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\09470488-74c0-48ad-813a-f0de97299f6a.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-6-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-6-combined-spot.npy,True,False
5,1,2025-03-05T11:24:35.869686Z,7,/data/upload/2/0d6f04cb-196639b8-9017-4fc7-b93c-a7dfbe29bcbe.webp,1045.834,2025-03-05T13:25:50.058062Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\196639b8-9017-4fc7-b93c-a7dfbe29bcbe.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-7-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-7-combined-spot.npy,True,False
6,1,2025-03-05T11:30:20.124776Z,8,/data/upload/2/4bd934c6-916478a7-c789-459a-af05-f4f570c4e24c.webp,567.9150000000001,2025-03-05T13:27:56.645630Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\916478a7-c789-459a-af05-f4f570c4e24c.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-8-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-8-combined-spot.npy,True,False
7,1,2025-03-05T11:37:28.343846Z,9,/data/upload/2/b1e5af41-93076a33-86ef-431b-be15-1744398a0da5.webp,1063.529,2025-03-05T13:33:25.172160Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\93076a33-86ef-431b-be15-1744398a0da5.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-9-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-9-combined-spot.npy,True,False
8,1,2025-03-05T11:50:18.892338Z,10,/data/upload/2/f89f2e01-93311fe8-9c6a-4bc7-a8c2-5090144705ab.webp,623.259,2025-03-05T13:37:40.651250Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\93311fe8-9c6a-4bc7-a8c2-5090144705ab.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-10-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-10-combined-spot.npy,True,False
9,1,2025-03-05T11:59:03.273715Z,11,/data/upload/2/4e90656c-a0d946c1-10ae-48cc-bcd6-c4d620ec7fc3.webp,749.598,2025-03-05T13:43:15.757432Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\a0d946c1-10ae-48cc-bcd6-c4d620ec7fc3.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-11-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-11-combined-spot.npy,True,False
10,1,2025-03-05T12:15:13.471095Z,12,/data/upload/2/c46d2e79-a1299e6d-0163-479d-85f5-99cc60c7cf6a.webp,1221.467,2025-03-05T13:46:46.336899Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\a1299e6d-0163-479d-85f5-99cc60c7cf6a.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-12-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-12-combined-spot.npy,True,False
11,1,2025-03-05T12:23:11.121229Z,13,/data/upload/2/3d5b35b1-a1b04185-fc1f-40e5-8549-9fa561015433.webp,2597.185,2025-03-05T14:19:39.918363Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\a1b04185-fc1f-40e5-8549-9fa561015433.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-13-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-13-combined-spot.npy,True,False
12,1,2025-03-05T12:38:56.089862Z,14,/data/upload/2/a95e5765-a2d3bb6d-0415-4e55-a176-b4cd6c84b998.webp,760.0939999999999,2025-03-05T14:24:15.010277Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\a2d3bb6d-0415-4e55-a176-b4cd6c84b998.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-14-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-14-combined-spot.npy,True,False
13,1,2025-03-05T12:48:40.366459Z,15,/data/upload/2/c99b77f7-a49f2368-c2a7-43a3-b14b-e2d51a45b843.webp,905.649,2025-03-05T14:29:13.135154Z,d:\VSCODE-library\deep-learning-QC\Segmentation\data\images\a49f2368-c2a7-43a3-b14b-e2d51a45b843.webp,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/zone/id-15-combined-zone.npy,d:\VSCODE-library\deep-learning-QC\Segmentation\data\combined_labels/spot/id-15-combined-spot.npy,True,False
